Order_Clements,Family_Clements,Species_Clements,Species_BirdTree,Match.type,Daughter,Status
Passeriformes,Leiothrichidae,Montecincla cachinnans,Strophocincla cachinnans,1BT to many CL,0,Extant
Passeriformes,Leiothrichidae,Montecincla jerdoni,Strophocincla cachinnans,1BT to many CL,1,Extant
Passeriformes,Leiothrichidae,Montecincla meridionalis,Strophocincla cachinnans,1BT to many CL,1,Extant
Passeriformes,Passeridae,Montifringilla henrici,Montifringilla nivalis,1BT to many CL,1,Extant
Passeriformes,Passeridae,Montifringilla nivalis,Montifringilla nivalis,1BT to many CL,0,Extant
Passeriformes,Motacillidae,Motacilla flava,Motacilla flava,1BT to many CL,0,Extant
Passeriformes,Motacillidae,Motacilla tschutschensis,Motacilla flava,1BT to many CL,1,Extant
Piciformes,Picidae,Mulleripicus fuliginosus,Mulleripicus funebris,1BT to many CL,1,Extant
Piciformes,Picidae,Mulleripicus funebris,Mulleripicus funebris,1BT to many CL,0,Extant
Passeriformes,Muscicapidae,Muscicapa dauurica,Muscicapa dauurica,1BT to many CL,0,Extant
Passeriformes,Muscicapidae,Muscicapa sodhii,Muscicapa dauurica,1BT to many CL,1,Extant
Passeriformes,Muscicapidae,Muscicapa williamsoni,Muscicapa dauurica,1BT to many CL,1,Extant
Passeriformes,Monarchidae,Myiagra azureocapilla,Myiagra azureocapilla,1BT to many CL,0,Extant
Passeriformes,Monarchidae,Myiagra castaneigularis,Myiagra azureocapilla,1BT to many CL,1,Extant
Passeriformes,Monarchidae,Myiagra inquieta,Myiagra inquieta,1BT to many CL,0,Extant
Passeriformes,Monarchidae,Myiagra nana,Myiagra inquieta,1BT to many CL,1,Extant
Passeriformes,Muscicapidae,Myrmecocichla arnotti,Myrmecocichla arnoti,1BT to many CL,0,Extant
Passeriformes,Thamnophilidae,Myrmoderus eowilsoni,Myrmeciza ferruginea,1BT to many CL,1,Extant
Passeriformes,Thamnophilidae,Myrmoderus ferrugineus,Myrmeciza ferruginea,1BT to many CL,0,Extant
Passeriformes,Grallariidae,Myrmothera campanisona,Myrmothera campanisona,1BT to many CL,0,Extant
Passeriformes,Grallariidae,Myrmothera subcanescens,Myrmothera campanisona,1BT to many CL,1,Extant
Passeriformes,Meliphagidae,Myzomela cardinalis,Myzomela cardinalis,1BT to many CL,0,Extant
Passeriformes,Meliphagidae,Myzomela nigriventris,Myzomela cardinalis,1BT to many CL,1,Extant
Passeriformes,Pellorneidae,Napothera danjoui,Jabouilleia danjoui,1BT to many CL,0,Extant
Passeriformes,Pellorneidae,Napothera naungmungensis,Jabouilleia danjoui,1BT to many CL,1,Extant
Caprimulgiformes,Trochilidae,Nesophlox evelynae,Calliphlox evelynae,1BT to many CL,0,Extant
Caprimulgiformes,Trochilidae,Nesophlox lyrura,Calliphlox evelynae,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox boobook,Ninox boobook,1BT to many CL,0,Extant
Strigiformes,Strigidae,Ninox forbesi,Ninox squamipila,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox fusca,Ninox boobook,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox hantu,Ninox squamipila,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox hypogramma,Ninox squamipila,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox japonica,Ninox scutulata,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox leventisi,Ninox philippensis,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox mindorensis,Ninox philippensis,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox obscura,Ninox scutulata,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox philippensis,Ninox philippensis,1BT to many CL,0,Extant
Strigiformes,Strigidae,Ninox plesseni,Ninox boobook,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox randi,Ninox scutulata,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox reyi,Ninox philippensis,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox rotiensis,Ninox boobook,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox rumseyi,Ninox philippensis,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox scutulata,Ninox scutulata,1BT to many CL,0,Extant
Strigiformes,Strigidae,Ninox spilocephala,Ninox philippensis,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox spilonotus,Ninox philippensis,1BT to many CL,1,Extant
Strigiformes,Strigidae,Ninox squamipila,Ninox squamipila,1BT to many CL,0,Extant
Accipitriformes,Accipitridae,Nisaetus kelaarti,Nisaetus nipalensis,1BT to many CL,1,Extant
Accipitriformes,Accipitridae,Nisaetus nipalensis,Nisaetus nipalensis,1BT to many CL,0,Extant
Accipitriformes,Accipitridae,Nisaetus philippensis,Nisaetus philippensis,1BT to many CL,0,Extant
Accipitriformes,Accipitridae,Nisaetus pinskeri,Nisaetus philippensis,1BT to many CL,1,Extant
Psittaciformes,Psittaculidae,Northiella haematogaster,Northiella haematogaster,1BT to many CL,0,Extant
Psittaciformes,Psittaculidae,Northiella narethae,Northiella haematogaster,1BT to many CL,1,Extant
Passeriformes,Corvidae,Nucifraga caryocatactes,Nucifraga caryocatactes,1BT to many CL,0,Extant
Passeriformes,Corvidae,Nucifraga multipunctata,Nucifraga caryocatactes,1BT to many CL,1,Extant
Galbuliformes,Bucconidae,Nystalus obamai,Nystalus striolatus,1BT to many CL,1,Extant
Galbuliformes,Bucconidae,Nystalus striolatus,Nystalus striolatus,1BT to many CL,0,Extant
Passeriformes,Muscicapidae,Oenanthe bottae,Oenanthe bottae,1BT to many CL,0,Extant
Passeriformes,Muscicapidae,Oenanthe heuglini,Oenanthe bottae,1BT to many CL,1,Extant
Passeriformes,Muscicapidae,Oenanthe hispanica,Oenanthe hispanica,1BT to many CL,0,Extant
Passeriformes,Muscicapidae,Oenanthe lugens,Oenanthe lugens,1BT to many CL,0,Extant
Passeriformes,Muscicapidae,Oenanthe lugubris,Oenanthe lugens,1BT to many CL,1,Extant
Passeriformes,Muscicapidae,Oenanthe melanoleuca,Oenanthe hispanica,1BT to many CL,1,Extant
Caprimulgiformes,Trochilidae,Oreotrochilus estella,Oreotrochilus estella,1BT to many CL,0,Extant
Caprimulgiformes,Trochilidae,Oreotrochilus stolzmanni,Oreotrochilus estella,1BT to many CL,1,Extant
Passeriformes,Oriolidae,Oriolus bouroensis,Oriolus bouroensis,1BT to many CL,0,Extant
Passeriformes,Oriolidae,Oriolus decipiens,Oriolus bouroensis,1BT to many CL,1,Extant
Passeriformes,Oriolidae,Oriolus kundoo,Oriolus oriolus,1BT to many CL,1,Extant
Passeriformes,Oriolidae,Oriolus oriolus,Oriolus oriolus,1BT to many CL,0,Extant
Galliformes,Cracidae,Ortalis araucuan,Ortalis guttata,1BT to many CL,1,Extant
Galliformes,Cracidae,Ortalis columbiana,Ortalis guttata,1BT to many CL,1,Extant
Galliformes,Cracidae,Ortalis guttata,Ortalis guttata,1BT to many CL,0,Extant
Galliformes,Cracidae,Ortalis motmot,Ortalis motmot,1BT to many CL,0,Extant
Galliformes,Cracidae,Ortalis ruficeps,Ortalis motmot,1BT to many CL,1,Extant
Galliformes,Cracidae,Ortalis squamata,Ortalis guttata,1BT to many CL,1,Extant
Passeriformes,Cisticolidae,Orthotomus atrogularis,Orthotomus atrogularis,1BT to many CL,0,Extant
Passeriformes,Cisticolidae,Orthotomus castaneiceps,Orthotomus castaneiceps,1BT to many CL,0,Extant
Passeriformes,Cisticolidae,Orthotomus chaktomuk,Orthotomus atrogularis,1BT to many CL,1,Extant
Passeriformes,Cisticolidae,Orthotomus chloronotus,Orthotomus castaneiceps,1BT to many CL,1,Extant
Strigiformes,Strigidae,Otus cyprius,Otus scops,1BT to many CL,1,Extant
Strigiformes,Strigidae,Otus everetti,Otus megalotis,1BT to many CL,1,Extant
Strigiformes,Strigidae,Otus jolandae,Otus magicus,1BT to many CL,1,Extant
Strigiformes,Strigidae,Otus magicus,Otus magicus,1BT to many CL,0,Extant
Strigiformes,Strigidae,Otus manadensis,Otus manadensis,1BT to many CL,0,Extant
Strigiformes,Strigidae,Otus megalotis,Otus megalotis,1BT to many CL,0,Extant
