Species_BirdTree,Migration,Ref.1_max.elevation,Ref.1_min.elevation,Ref.2_max.elevation,Ref.2_min.elevation,Updated_max.elevation,Updated_min.elevation,Source_updated.elevation
Ramphastos toco,1,1750,0,1750,0,NA,NA,NA
Ramphastos tucanus,1,1440,0,1440,0,NA,NA,NA
Ramphastos vitellinus,1,1700,0,1700,0,NA,NA,NA
Ramphocaenus melanurus,1,750,NA,1800,0,800,0,del Hoyo (2020)
Ramphocelus bresilius,1,800,0,800,0,NA,NA,NA
Ramphocelus carbo,1,2000,0,2000,0,NA,NA,NA
Ramphocelus costaricensis,1,1700,0,1700,0,NA,NA,NA
Ramphocelus dimidiatus,1,1700,0,2600,0,2600,0,del Hoyo (2020)
Ramphocelus flammigerus,1,2000,0,2000,800,2000,800,del Hoyo (2020)
Ramphocelus icteronotus,1,NA,NA,1800,0,NA,NA,NA
Ramphocelus melanogaster,1,2100,800,1800,500,NA,NA,NA
Ramphocelus nigrogularis,1,600,0,1100,0,1100,0,del Hoyo (2020)
Ramphocelus passerinii,1,1200,0,1200,0,NA,NA,NA
Ramphocelus sanguinolentus,1,1200,0,1200,0,NA,NA,NA
Ramphocinclus brachyurus,1,200,0,NA,NA,NA,NA,NA
Ramphodon naevius,1,NA,NA,500,0,NA,NA,NA
Ramphomicron dorsale,1,4600,2000,NA,NA,NA,NA,NA
Ramphomicron microrhynchum,1,3400,1700,3600,1700,NA,NA,NA
Ramphotrigon fuscicauda,1,900,NA,1050,0,NA,NA,NA
Ramphotrigon megacephalum,1,NA,NA,1400,0,NA,NA,NA
Ramphotrigon ruficauda,1,600,NA,700,0,NA,NA,NA
Ramsayornis fasciatus,1,NA,NA,500,0,NA,NA,NA
Ramsayornis modestus,1,600,0,600,0,NA,NA,NA
Randia pseudozosterops,1,1200,0,1500,0,1200,0,del Hoyo (2020)
Recurvirostra americana,2,2500,0,2720,0,NA,NA,NA
Recurvirostra andina,2,3100,0,5000,2500,4500,0,del Hoyo (2020)
Recurvirostra avosetta,2,3000,0,3000,0,NA,NA,NA
Recurvirostra novaehollandiae,2,NA,NA,600,0,600,0,del Hoyo (2020)
Regulus calendula,3,3000,NA,3000,0,3000,0,del Hoyo (2020)
Regulus goodfellowi,2,3700,NA,3700,2000,3700,0,del Hoyo (2020)
Regulus ignicapilla,3,NA,NA,1600,0,2700,0,del Hoyo (2020)
Regulus madeirensis,1,1550,600,1550,600,NA,NA,NA
Regulus regulus,3,4000,NA,4000,0,4000,0,del Hoyo (2020)
Regulus satrapa,3,3450,NA,3700,0,3500,0,del Hoyo (2020)
Reinwardtipicus validus,1,2200,0,2200,0,NA,NA,NA
Reinwardtoena browni,1,1000,NA,1000,0,NA,NA,NA
Reinwardtoena crassirostris,1,1100,0,1100,0,NA,NA,NA
Reinwardtoena reinwardtsi,1,3380,0,3380,0,NA,NA,NA
Remiz consobrinus,3,NA,NA,NA,NA,1000,0,del Hoyo (2020)
Remiz coronatus,3,2400,NA,2400,0,2400,200,del Hoyo (2020)
Remiz macronyx,3,NA,NA,400,0,800,0,del Hoyo (2020)
Remiz pendulinus,3,650,0,650,0,700,0,del Hoyo (2020)
Rhabdornis grandis,1,NA,NA,1250,350,NA,NA,NA
Rhabdornis inornatus,1,1750,230,1750,500,NA,NA,NA
Rhabdornis mystacalis,1,1000,0,1000,0,NA,NA,NA
Rhagologus leucostigma,1,2990,820,2900,820,NA,NA,NA
Rhamphocoris clotbey,2,NA,NA,1600,900,1800,0,del Hoyo (2020)
Rhamphomantis megarhynchus,1,NA,NA,700,0,NA,NA,NA
Rhaphidura leucopygialis,1,1500,NA,1500,0,NA,NA,NA
Rhaphidura sabini,1,1700,700,1700,700,NA,NA,NA
Rhea americana,1,2000,NA,1200,0,2200,0,del Hoyo (2020)
Rhea pennata,1,4500,0,5000,0,4500,0,del Hoyo (2020)
Rhegmatorhina berlepschi,1,100,NA,NA,NA,100,0,del Hoyo (2020)
Rhegmatorhina cristata,1,350,NA,NA,NA,400,0,del Hoyo (2020)
Rhegmatorhina gymnops,1,200,NA,NA,NA,200,0,del Hoyo (2020)
Rhegmatorhina hoffmannsi,1,300,NA,300,0,NA,NA,NA
Rhegmatorhina melanosticta,1,1350,NA,1350,0,NA,NA,NA
Rheinardia ocellata,1,1900,0,1900,680,1900,0,del Hoyo (2020)
Rhinocrypta lanceolata,1,1800,0,1800,0,NA,NA,NA
Rhinomyias additus,1,NA,NA,NA,NA,1500,500,del Hoyo (2020)
Rhinomyias albigularis,1,1350,NA,NA,NA,1400,0,del Hoyo (2020)
Rhinomyias brunneatus,3,NA,NA,1200,600,2000,0,del Hoyo (2020)
Rhinomyias colonus,1,300,0,300,0,NA,NA,NA
Rhinomyias goodfellowi,1,NA,NA,2954,1000,NA,NA,NA
Rhinomyias gularis,1,3300,900,3300,900,NA,NA,NA
Rhinomyias insignis,1,NA,NA,2954,950,NA,NA,NA
Rhinomyias olivaceus,1,NA,NA,900,0,NA,NA,NA
Rhinomyias oscillans,1,1500,370,NA,NA,NA,NA,NA
Rhinomyias ruficauda,1,2000,0,2000,0,NA,NA,NA
Rhinomyias umbratilis,1,1160,0,1160,0,NA,NA,NA
Rhinoplax vigil,1,NA,NA,1500,0,NA,NA,NA
Rhinopomastus aterrimus,1,2000,0,2000,0,NA,NA,NA
Rhinopomastus cyanomelas,1,2000,0,2150,0,NA,NA,NA
Rhinopomastus minor,1,2000,0,2000,0,NA,NA,NA
Rhinoptilus africanus,1,1800,NA,1800,0,NA,NA,NA
Rhinoptilus bitorquatus,1,NA,NA,500,0,NA,NA,NA
Rhinoptilus chalcopterus,1,NA,NA,2200,0,NA,NA,NA
Rhinoptilus cinctus,1,NA,NA,2200,50,NA,NA,NA
Rhipidura albicollis,1,3050,0,3050,0,NA,NA,NA
Rhipidura albolimbata,1,3600,1130,3600,1130,NA,NA,NA
Rhipidura atra,1,NA,NA,3200,700,NA,NA,NA
Rhipidura aureola,1,1500,NA,1500,0,NA,NA,NA
Rhipidura brachyrhyncha,1,3900,1160,3900,1160,NA,NA,NA
Rhipidura cockerelli,1,1000,NA,1000,0,NA,NA,NA
Rhipidura cyaniceps,1,2400,0,2400,0,NA,NA,NA
Rhipidura dahli,1,NA,NA,2438,530,NA,NA,NA
Rhipidura dedemi,1,2200,500,NA,NA,NA,NA,NA
Rhipidura diluta,1,2100,0,NA,NA,NA,NA,NA
Rhipidura drownei,1,1600,700,1600,700,NA,NA,NA
Rhipidura euryura,1,2750,900,2750,900,NA,NA,NA
Rhipidura fuliginosa,1,1500,0,1500,0,NA,NA,NA
Rhipidura fuscorufa,1,NA,NA,NA,NA,800,0,del Hoyo (2020)
Rhipidura hyperythra,1,1750,NA,1750,0,NA,NA,NA
Rhipidura javanica,1,1500,0,1500,0,NA,NA,NA
Rhipidura kubaryi,1,NA,NA,NA,NA,800,0,del Hoyo (2020)
Rhipidura lepida,1,NA,NA,NA,NA,200,0,del Hoyo (2020)
Rhipidura leucophrys,1,1980,0,2800,0,2800,0,del Hoyo (2020)
Rhipidura leucothorax,1,1350,0,1350,0,NA,NA,NA
Rhipidura maculipectus,1,NA,NA,700,0,NA,NA,NA
Rhipidura malaitae,1,1200,750,NA,NA,NA,NA,NA
Rhipidura matthiae,1,NA,NA,NA,NA,600,0,del Hoyo (2020)
Rhipidura nebulosa,1,900,0,NA,NA,NA,NA,NA
Rhipidura nigrocinnamomea,1,2438,991,2438,991,NA,NA,NA
Rhipidura opistherythra,1,NA,NA,NA,NA,200,0,del Hoyo (2020)
Rhipidura perlata,1,1700,NA,1700,0,NA,NA,NA
Rhipidura personata,1,NA,NA,NA,NA,200,0,del Hoyo (2020)
Rhipidura phasiana,1,NA,NA,150,0,NA,NA,NA
Rhipidura phoenicura,1,2500,1000,2500,1000,NA,NA,NA
Rhipidura rennelliana,1,NA,NA,NA,NA,200,0,del Hoyo (2020)
Rhipidura rufidorsa,1,850,NA,850,0,NA,NA,NA
Rhipidura rufifrons,1,2000,0,1600,0,2000,0,del Hoyo (2020)
Rhipidura rufiventris,1,2600,0,1640,0,2600,0,del Hoyo (2020)
Rhipidura semirubra,1,NA,NA,NA,NA,300,0,del Hoyo (2020)
Rhipidura superciliaris,1,1200,NA,1200,0,NA,NA,NA
Rhipidura superflua,1,1500,700,NA,NA,NA,NA,NA
Rhipidura tenebrosa,1,700,50,NA,NA,NA,NA,NA
Rhipidura teysmanni,1,2300,200,2300,200,NA,NA,NA
Rhipidura threnothorax,1,1100,NA,1100,0,NA,NA,NA
Rhipidura verreauxi,1,NA,NA,NA,NA,1800,0,del Hoyo (2020)
Rhizothera longirostris,1,1500,0,1500,0,NA,NA,NA
Rhodinocichla rosea,1,1700,0,1700,0,NA,NA,NA
Rhodopechys obsoletus,2,NA,NA,1400,0,2000,0,del Hoyo (2020)
Rhodopechys sanguineus,2,NA,NA,4200,900,4200,500,del Hoyo (2020)
Rhodophoneus cruentus,1,1970,NA,1970,0,NA,NA,NA
Rhodopis vesper,2,3000,NA,3800,0,3000,0,del Hoyo (2020)
Rhodospingus cruentus,1,750,0,800,0,NA,NA,NA
Rhodostethia rosea,2,NA,NA,150,0,500,0,del Hoyo (2020)
Rhodothraupis celaeno,1,1200,0,1200,0,NA,NA,NA
Rhopocichla atriceps,1,2100,NA,2100,0,NA,NA,NA
Rhopophilus pekinensis,1,NA,NA,700,0,NA,NA,NA
Rhopornis ardesiacus,1,NA,NA,1000,0,NA,NA,NA
Rhyacornis bicolor,1,NA,NA,2954,300,NA,NA,NA
Rhyacornis fuliginosa,2,NA,NA,4000,600,NA,NA,NA
Rhynchocyclus brevirostris,1,2100,0,2100,0,NA,NA,NA
Rhynchocyclus fulvipectus,1,2300,750,2300,750,NA,NA,NA
Rhynchocyclus olivaceus,1,1000,0,1600,0,1100,0,del Hoyo (2020)
Rhynchocyclus pacificus,1,1100,0,1500,0,1100,0,del Hoyo (2020)
Rhynchopsitta pachyrhyncha,1,3600,1200,3000,2000,3500,1200,Birds of the World (2022)
Rhynchopsitta terrisi,1,3700,1300,3500,2000,3500,2000,del Hoyo (2020)
Rhynchortyx cinctus,1,1410,0,1410,0,NA,NA,NA
Rhynchostruthus louisae,1,1400,0,NA,NA,NA,NA,NA
Rhynchostruthus percivali,1,3100,50,3100,50,NA,NA,NA
Rhynchostruthus socotranus,1,1400,150,NA,NA,NA,NA,NA
Rhynchotus maculicollis,1,3050,1000,3050,1000,NA,NA,NA
Rhynchotus rufescens,1,NA,NA,1000,0,1400,0,del Hoyo (2020)
Rhynochetos jubatus,1,1400,0,NA,NA,NA,NA,NA
Rhytipterna holerythra,1,1200,NA,1400,0,NA,NA,NA
Rhytipterna immunda,1,300,NA,300,0,NA,NA,NA
Rhytipterna simplex,1,1300,NA,1400,0,NA,NA,NA
Rigidipenna inexpectata,1,NA,NA,700,0,NA,NA,NA
Rimator albostriatus,1,2850,1200,2850,1200,NA,NA,NA
Rimator malacoptilus,1,2700,900,2000,900,2000,900,del Hoyo (2020)
Rimator pasquieri,1,2000,1220,2000,1220,NA,NA,NA
Riparia cincta,2,3000,NA,3000,0,3000,0,del Hoyo (2020)
Riparia congica,2,NA,NA,NA,NA,400,0,del Hoyo (2020)
Riparia paludicola,2,4600,0,4600,0,NA,NA,NA
Riparia riparia,3,4500,0,700,0,4500,0,del Hoyo (2020)
Rissa brevirostris,2,NA,NA,NA,NA,300,0,del Hoyo (2020)
Rissa tridactyla,2,NA,NA,150,0,2800,0,del Hoyo (2020)
Robsonius rabori,1,NA,NA,1000,0,NA,NA,NA
Robsonius sorsogonensis,1,NA,NA,1000,0,NA,NA,NA
Rollandia microptera,1,4500,3000,4300,3600,3900,3000,del Hoyo (2020)
Rollandia rolland,2,4500,0,4500,0,NA,NA,NA
Rollulus rouloul,1,1200,0,1300,0,NA,NA,NA
Roraimia adusta,1,2500,1000,2500,1000,NA,NA,NA
Rostratula australis,2,NA,NA,700,0,700,0,del Hoyo (2020)
Rostratula benghalensis,2,1800,0,1800,0,NA,NA,NA
Rostratula semicollaris,2,1000,0,1000,0,NA,NA,NA
Rostrhamus sociabilis,2,NA,NA,2800,0,2600,0,del Hoyo (2020)
Rougetius rougetii,1,4100,2000,4100,2000,NA,NA,NA
Rowettia goughensis,1,900,0,NA,NA,NA,NA,NA
Rukia longirostra,1,NA,NA,NA,NA,800,600,del Hoyo (2020)
Rukia ruki,1,NA,NA,NA,NA,500,0,del Hoyo (2020)
Rupicola peruvianus,1,NA,NA,2400,350,NA,NA,NA
Rupicola rupicola,1,2000,NA,2000,0,NA,NA,NA
Ruwenzorornis johnstoni,1,NA,NA,NA,NA,3700,1700,del Hoyo (2020)
Rynchops albicollis,2,NA,NA,500,0,600,0,del Hoyo (2020)
Rynchops flavirostris,2,1800,0,1800,0,NA,NA,NA
Rynchops niger,2,NA,NA,3800,0,3800,0,del Hoyo (2020)
Sagittarius serpentarius,2,3000,0,3150,0,NA,NA,NA
Sakesphorus bernardi,1,1850,0,1950,0,NA,NA,NA
Sakesphorus canadensis,1,900,0,900,0,NA,NA,NA
Sakesphorus cristatus,1,1100,NA,1100,0,NA,NA,NA
Sakesphorus luctuosus,1,250,0,NA,NA,NA,NA,NA
Sakesphorus melanonotus,1,1300,NA,1300,0,NA,NA,NA
Sakesphorus melanothorax,1,550,0,550,0,NA,NA,NA
Salpinctes obsoletus,1,3500,0,3500,0,NA,NA,NA
Salpornis spilonotus,1,2300,305,2300,0,NA,NA,NA
Saltator albicollis,1,500,0,NA,NA,NA,NA,NA
Saltator atriceps,1,1800,0,1800,0,NA,NA,NA
Saltator atricollis,1,1800,500,1800,500,NA,NA,NA
Saltator atripennis,1,1700,50,2200,50,2200,0,del Hoyo (2020)
Saltator aurantiirostris,1,3800,0,4000,0,NA,NA,NA
Saltator cinctus,2,3100,1700,3080,1700,NA,NA,NA
Saltator coerulescens,1,1850,0,1850,0,NA,NA,NA
Saltator fuliginosus,1,NA,NA,1200,0,NA,NA,NA
Saltator grossus,1,NA,NA,1800,0,NA,NA,NA
Saltator maxillosus,1,2200,0,2200,900,2200,0,del Hoyo (2020)
Saltator maximus,1,1800,0,1800,0,NA,NA,NA
Saltator nigriceps,1,2900,1200,2900,1200,NA,NA,NA
Saltator orenocensis,1,600,0,600,0,NA,NA,NA
Saltator rufiventris,1,4000,2500,4000,2500,NA,NA,NA
Saltator similis,1,1200,0,1200,0,NA,NA,NA
Saltator striatipectus,1,2500,0,2500,0,NA,NA,NA
Saltatricula multicolor,1,600,0,600,0,NA,NA,NA
Salvadorina waigiuensis,1,4100,70,4100,70,NA,NA,NA
Sapayoa aenigma,1,1100,NA,1200,0,NA,NA,NA
Sappho sparganura,1,4000,1500,4000,1500,NA,NA,NA
Sarcogyps calvus,1,2000,0,3000,0,2500,0,del Hoyo (2020)
Sarcops calvus,1,1500,NA,1500,0,NA,NA,NA
Sarcoramphus papa,1,NA,NA,2500,0,NA,NA,NA
Sarkidiornis melanotos,1,NA,NA,3400,0,NA,NA,NA
Saroglossa aurata,1,1800,NA,1800,0,NA,NA,NA
Saroglossa spiloptera,3,2000,NA,2000,700,2000,0,del Hoyo (2020)
Sarothrura affinis,1,3700,0,3700,0,NA,NA,NA
Sarothrura ayresi,1,2600,NA,2600,2200,NA,NA,NA
Sarothrura boehmi,1,NA,NA,2000,370,NA,NA,NA
Sarothrura elegans,1,3200,0,3200,0,NA,NA,NA
Sarothrura insularis,1,2300,0,2300,0,NA,NA,NA
Sarothrura lugens,1,NA,NA,700,0,NA,NA,NA
Sarothrura pulchra,1,1600,0,2000,0,2000,0,del Hoyo (2020)
Sarothrura rufa,1,2700,0,2700,0,NA,NA,NA
Sarothrura watersi,1,1800,950,1300,930,1300,900,del Hoyo (2020)
Sasia abnormis,1,1370,NA,1370,0,NA,NA,NA
Sasia africana,1,1000,NA,1100,0,NA,NA,NA
Sasia ochracea,1,2600,NA,2600,0,NA,NA,NA
Satrapa icterophrys,3,2600,NA,2600,0,2600,0,del Hoyo (2020)
Saxicola caprata,3,2400,0,2400,0,NA,NA,NA
Saxicola dacotiae,1,NA,NA,NA,NA,500,200,del Hoyo (2020)
Saxicola ferreus,1,NA,NA,3300,0,NA,NA,NA
Saxicola gutturalis,1,1200,NA,NA,NA,1200,0,del Hoyo (2020)
Saxicola insignis,3,3100,NA,3100,2100,4500,0,del Hoyo (2020)
Saxicola jerdoni,1,1500,NA,1500,0,NA,NA,NA
Saxicola leucurus,1,NA,NA,600,0,NA,NA,NA
Saxicola macrorhynchus,2,NA,NA,600,0,300,0,del Hoyo (2020)
Saxicola rubetra,3,2230,0,2300,0,NA,NA,NA
Saxicola tectes,1,NA,NA,NA,NA,2400,100,del Hoyo (2020)
Saxicola torquatus,2,NA,NA,4000,0,3000,0,del Hoyo (2020)
Saxicoloides fulicatus,1,NA,NA,1600,0,NA,NA,NA
Sayornis nigricans,1,3000,0,3000,0,NA,NA,NA
Sayornis phoebe,3,2500,0,2500,0,NA,NA,NA
Sayornis saya,3,2850,0,2850,-60,NA,NA,NA
Scelorchilus albicollis,1,1600,0,1500,0,NA,NA,NA
Scelorchilus rubecula,1,1500,0,1500,0,NA,NA,NA
Scenopoeetes dentirostris,1,NA,NA,1600,0,NA,NA,NA
Schetba rufa,1,800,0,800,0,NA,NA,NA
Schiffornis major,1,300,NA,400,0,NA,NA,NA
Schiffornis turdina,1,NA,NA,1800,0,NA,NA,NA
Schiffornis virescens,1,1200,NA,1200,0,NA,NA,NA
Schistes geoffroyi,1,NA,NA,2500,800,NA,NA,NA
Schistochlamys melanopis,2,1800,0,1800,0,NA,NA,NA
Schistochlamys ruficapillus,1,2050,0,2050,0,NA,NA,NA
Schistocichla brunneiceps,1,NA,NA,1850,0,NA,NA,NA
Schistocichla caurensis,1,NA,NA,1500,0,NA,NA,NA
Schistocichla humaythae,1,NA,NA,NA,NA,1000,0,del Hoyo (2020)
Schistocichla leucostigma,1,NA,NA,1700,0,NA,NA,NA
Schistocichla rufifacies,1,NA,NA,NA,NA,800,0,del Hoyo (2020)
Schistocichla saturata,1,NA,NA,1700,0,NA,NA,NA
Schistocichla schistacea,1,NA,NA,400,0,NA,NA,NA
Schizoeaca coryi,1,4100,2800,4100,2800,NA,NA,NA
Schizoeaca fuliginosa,1,4000,2300,3600,2400,4000,2300,del Hoyo (2020)
Schizoeaca griseomurina,1,4000,2150,4000,2150,NA,NA,NA
Schizoeaca harterti,1,3400,2900,3400,2900,NA,NA,NA
Schizoeaca helleri,1,3600,2800,3700,2700,NA,NA,NA
Schizoeaca palpebralis,1,3300,3050,3700,3000,3300,300,del Hoyo (2020)
Schizoeaca perijana,1,3400,3000,NA,NA,NA,NA,NA
Schizoeaca vilcabambae,1,3600,2500,3600,2830,3700,2500,del Hoyo (2020)
Schoenicola brevirostris,1,2150,350,2150,350,NA,NA,NA
Schoenicola platyurus,1,NA,NA,2000,900,NA,NA,NA
Schoeniophylax phryganophilus,1,NA,NA,500,0,NA,NA,NA
Schoutedenapus myoptilus,2,2450,500,2500,500,NA,NA,NA
Schoutedenapus schoutedeni,2,2700,1000,NA,NA,NA,NA,NA
Scissirostrum dubium,2,1100,0,1100,0,NA,NA,NA
Sclateria naevia,1,700,0,700,0,NA,NA,NA
Sclerurus albigularis,1,2200,50,2200,0,NA,NA,NA
Sclerurus caudacutus,1,1100,0,1100,0,NA,NA,NA
Sclerurus guatemalensis,1,1250,0,1250,0,NA,NA,NA
Sclerurus mexicanus,1,2000,0,2200,0,NA,NA,NA
Sclerurus rufigularis,1,900,0,1800,0,1800,0,del Hoyo (2020)
Sclerurus scansor,1,1500,0,1500,0,NA,NA,NA
Scolopax bukidnonensis,1,2750,900,2760,900,NA,NA,NA
Scolopax celebensis,1,2500,1100,2500,1100,NA,NA,NA
Scolopax minor,3,NA,NA,500,0,1900,0,del Hoyo (2020)
Scolopax mira,1,NA,NA,NA,NA,500,100,del Hoyo (2020)
Scolopax rochussenii,1,1550,NA,NA,NA,1200,0,del Hoyo (2020)
Scolopax rosenbergii,1,NA,NA,3800,2400,NA,NA,NA
Scolopax rusticola,3,NA,NA,2000,0,2000,0,del Hoyo (2020)
Scolopax saturata,1,3000,1500,3000,1500,NA,NA,NA
Scopus umbretta,2,2400,0,2400,0,NA,NA,NA
Scotocerca inquieta,1,3500,NA,3500,0,NA,NA,NA
Scotopelia bouvieri,1,NA,NA,NA,NA,600,0,del Hoyo (2020)
Scotopelia peli,1,1700,0,1700,0,NA,NA,NA
Scotopelia ussheri,1,NA,NA,400,0,NA,NA,NA
Scytalopus acutirostris,1,3500,2675,3500,2675,NA,NA,NA
Scytalopus affinis,1,4100,2835,4100,2835,NA,NA,NA
Scytalopus altirostris,1,3450,2450,3450,2450,NA,NA,NA
Scytalopus argentifrons,1,3000,1000,3000,1000,NA,NA,NA
Scytalopus atratus,1,1900,850,3100,800,1900,800,del Hoyo (2020)
Scytalopus bolivianus,1,2850,1000,1800,1200,2900,1000,del Hoyo (2020)
Scytalopus canus,1,4000,2600,4000,2600,NA,NA,NA
Scytalopus caracae,1,1800,1200,2140,1200,2400,1200,del Hoyo (2020)
Scytalopus chocoensis,1,1465,250,NA,NA,1500,200,del Hoyo (2020); Birds of the World (2022)
Scytalopus femoralis,1,2550,1000,2550,1000,NA,NA,NA
Scytalopus fuscus,1,800,0,800,0,NA,NA,NA
Scytalopus griseicollis,1,3900,2000,3200,2500,3900,1300,del Hoyo (2020)
Scytalopus iraiensis,1,950,750,950,750,NA,NA,NA
Scytalopus latebricola,1,3660,2000,NA,NA,NA,NA,NA
Scytalopus latrans,1,4000,1500,3700,1500,NA,NA,NA
Scytalopus macropus,1,3500,2400,3500,2400,NA,NA,NA
Scytalopus magellanicus,1,3500,0,3500,0,NA,NA,NA
Scytalopus meridanus,1,4000,1980,3600,1200,4000,1600,del Hoyo (2020)
Scytalopus micropterus,1,2300,1250,3100,1200,2300,1200,del Hoyo (2020)
Scytalopus novacapitalis,1,1000,800,1000,800,NA,NA,NA
Scytalopus pachecoi,1,NA,NA,1500,0,NA,NA,NA
Scytalopus panamensis,1,1500,1020,1500,1050,NA,NA,NA
Scytalopus parkeri,1,3350,2250,3200,2000,NA,NA,NA
Scytalopus parvirostris,1,3300,1800,3300,1800,NA,NA,NA
Scytalopus robbinsi,1,1250,700,1200,700,NA,NA,NA
Scytalopus rodriguezi,1,2300,2000,2300,2000,NA,NA,NA
Scytalopus sanctaemartae,1,1700,900,NA,NA,NA,NA,NA
Scytalopus schulenbergi,1,3400,2800,3400,2750,NA,NA,NA
Scytalopus simonsi,1,4300,3300,4300,2900,4300,3300,del Hoyo (2020)
Scytalopus speluncae,1,2500,800,2500,800,NA,NA,NA
Scytalopus spillmanni,1,3700,1900,3600,1250,3700,1900,del Hoyo (2020)
Scytalopus stilesi,1,2130,1420,2130,1420,NA,NA,NA
Scytalopus superciliaris,1,3350,1500,3350,1500,NA,NA,NA
Scytalopus unicolor,1,3170,2000,3170,2000,NA,NA,NA
Scytalopus urubambae,1,4170,3500,4170,3500,NA,NA,NA
Scytalopus vicinior,1,2350,1250,NA,NA,2400,1200,del Hoyo (2020); Birds of the World (2022)
Scytalopus zimmeri,1,3200,1700,3200,1700,NA,NA,NA
Scythrops novaehollandiae,3,NA,NA,700,0,800,0,del Hoyo (2020)
Seicercus affinis,2,2600,NA,2600,1000,2600,1000,del Hoyo (2020)
Seicercus burkii,3,NA,NA,2600,1700,2600,1700,del Hoyo (2020)
Seicercus castaniceps,2,2750,NA,2750,825,2800,200,del Hoyo (2020)
Seicercus grammiceps,1,2500,800,2500,800,NA,NA,NA
Seicercus montis,1,2300,NA,2300,900,NA,NA,NA
Seicercus omeiensis,3,2300,400,2300,1200,2300,400,del Hoyo (2020)
Seicercus poliogenys,2,2100,NA,2100,1100,2000,1100,del Hoyo (2020)
Seicercus soror,3,1500,NA,1500,600,1500,0,del Hoyo (2020)
Seicercus tephrocephalus,2,2500,0,2500,1200,2500,0,del Hoyo (2020)
Seicercus valentini,3,1900,450,3100,1760,3100,1200,del Hoyo (2020)
Seicercus whistleri,2,2750,2000,3500,2000,3500,400,del Hoyo (2020)
Seiurus aurocapilla,3,NA,NA,2200,0,2200,0,del Hoyo (2020)
Seiurus motacilla,3,2000,NA,2000,0,2000,0,del Hoyo (2020)
Seiurus noveboracensis,3,3000,0,1500,0,3000,0,del Hoyo (2020)
Selasphorus ardens,1,1800,750,1850,750,NA,NA,NA
Selasphorus flammula,1,3500,1800,3500,1800,NA,NA,NA
Selasphorus platycercus,1,2500,1500,2500,1500,NA,NA,NA
Selasphorus rufus,1,NA,NA,2260,0,NA,NA,NA
Selasphorus sasin,1,NA,NA,1300,0,NA,NA,NA
Selasphorus scintilla,1,2100,900,2100,900,NA,NA,NA
Selenidera gouldii,1,725,0,800,0,NA,NA,NA
Selenidera maculirostris,1,NA,NA,1000,0,NA,NA,NA
Selenidera nattereri,1,NA,NA,700,0,NA,NA,NA
Selenidera piperivora,1,NA,NA,900,0,NA,NA,NA
Selenidera reinwardtii,1,1500,0,1500,0,NA,NA,NA
Selenidera spectabilis,1,1500,0,1500,0,NA,NA,NA
Seleucidis melanoleucus,1,NA,NA,180,0,NA,NA,NA
Semioptera wallacii,1,NA,NA,NA,NA,1200,200,del Hoyo (2020)
Semnornis frantzii,1,2740,500,2200,1200,2800,500,del Hoyo (2020)
Semnornis ramphastinus,1,2400,1000,2400,1000,NA,NA,NA
Sephanoides fernandensis,1,800,0,NA,NA,NA,NA,NA
Sephanoides sephaniodes,1,2000,0,2000,0,NA,NA,NA
Sericornis arfakianus,1,1700,670,1700,670,NA,NA,NA
Sericornis beccarii,1,1800,600,1800,600,NA,NA,NA
Sericornis citreogularis,1,1300,300,1300,300,NA,NA,NA
Sericornis frontalis,1,1830,0,1830,0,NA,NA,NA
Sericornis humilis,1,1220,0,800,0,1300,0,del Hoyo (2020)
Sericornis keri,2,1600,420,1600,420,NA,NA,NA
Sericornis magnirostra,2,NA,NA,1200,0,1200,0,del Hoyo (2020)
Sericornis nouhuysi,1,3750,1200,3750,1200,NA,NA,NA
Sericornis papuensis,1,3500,850,3500,1500,3500,800,del Hoyo (2020)
Sericornis perspicillatus,1,2800,850,2800,850,NA,NA,NA
Sericornis rufescens,1,1800,1300,1800,1300,NA,NA,NA
Sericornis spilodera,1,1650,200,1650,200,NA,NA,NA
Sericornis virgatus,1,1520,600,1520,600,NA,NA,NA
Sericossypha albocristata,1,3200,1600,3200,1600,NA,NA,NA
Sericulus aureus,1,1400,NA,1400,500,NA,NA,NA
Sericulus bakeri,1,1450,900,1450,900,NA,NA,NA
Sericulus chrysocephalus,1,900,0,900,0,NA,NA,NA
Serilophus lunatus,1,2230,150,2230,0,NA,NA,NA
Serinus alario,1,NA,NA,700,0,NA,NA,NA
Serinus albogularis,1,NA,NA,700,0,NA,NA,NA
Serinus ankoberensis,1,4250,2620,4250,2620,NA,NA,NA
Serinus atrogularis,1,2430,0,2000,0,2800,0,del Hoyo (2020)
Serinus buchanani,1,NA,NA,700,0,NA,NA,NA
Serinus burtoni,1,3000,1370,3000,1370,NA,NA,NA
Serinus canaria,1,1700,0,NA,NA,NA,NA,NA
Serinus canicollis,1,NA,NA,2300,0,2300,0,del Hoyo (2020)
Serinus capistratus,1,1500,0,1500,0,NA,NA,NA
Serinus citrinelloides,1,2500,500,2500,1230,2800,1000,del Hoyo (2020)
Serinus citrinipectus,1,750,NA,750,0,NA,NA,NA
Serinus donaldsoni,1,1790,200,1790,200,NA,NA,NA
Serinus dorsostriatus,1,2650,400,1400,400,2700,400,del Hoyo (2020)
Serinus estherae,1,3400,1300,3400,1300,NA,NA,NA
Serinus flavigula,1,1600,1300,1600,1300,NA,NA,NA
Serinus flaviventris,1,1530,0,1530,0,NA,NA,NA
