Species_BirdTree,Migration,Ref.1_max.elevation,Ref.1_min.elevation,Ref.2_max.elevation,Ref.2_min.elevation,Updated_max.elevation,Updated_min.elevation,Source_updated.elevation
Brotogeris chrysoptera,1,NA,NA,1200,0,NA,NA,NA
Brotogeris cyanoptera,1,1000,0,1350,0,1400,0,del Hoyo (2020)
Brotogeris jugularis,1,1400,0,1400,0,NA,NA,NA
Brotogeris pyrrhoptera,1,NA,NA,1550,0,NA,NA,NA
Brotogeris sanctithomae,1,300,0,300,0,NA,NA,NA
Brotogeris tirica,1,1200,0,1200,0,NA,NA,NA
Brotogeris versicolurus,1,300,0,1000,0,300,0,del Hoyo (2020)
Bubalornis albirostris,1,1200,NA,1250,250,NA,NA,NA
Bubalornis niger,1,1500,NA,1500,0,NA,NA,NA
Bubo africanus,1,2100,0,2100,0,NA,NA,NA
Bubo ascalaphus,1,NA,NA,1700,0,NA,NA,NA
Bubo bengalensis,1,2400,0,2400,0,NA,NA,NA
Bubo bubo,1,4500,0,4500,0,NA,NA,NA
Bubo capensis,1,4200,2000,4200,2000,NA,NA,NA
Bubo cinerascens,1,NA,NA,2800,0,NA,NA,NA
Bubo coromandus,1,250,0,250,0,NA,NA,NA
Bubo lacteus,1,3000,0,3000,0,NA,NA,NA
Bubo leucostictus,1,NA,NA,900,0,NA,NA,NA
Bubo magellanicus,1,NA,NA,4500,0,NA,NA,NA
Bubo nipalensis,1,3000,300,3000,300,NA,NA,NA
Bubo philippensis,1,1250,0,650,0,1200,0,del Hoyo (2020)
Bubo poensis,1,1600,0,1600,0,NA,NA,NA
Bubo scandiaca,3,NA,NA,300,0,1000,0,del Hoyo (2020)
Bubo shelleyi,1,NA,NA,800,0,NA,NA,NA
Bubo sumatranus,1,1600,0,1600,0,NA,NA,NA
Bubo virginianus,1,NA,NA,4400,0,NA,NA,NA
Bubo vosseleri,1,1500,200,1500,200,NA,NA,NA
Bubulcus ibis,2,4080,0,4550,0,4100,0,del Hoyo (2020)
Bucanetes githagineus,2,NA,NA,3000,0,3000,0,del Hoyo (2020)
Buccanodon duchaillui,1,2250,NA,2250,0,NA,NA,NA
Bucco capensis,1,1700,0,1700,0,NA,NA,NA
Bucco macrodactylus,1,600,0,1000,0,1200,0,del Hoyo (2020)
Bucco noanamae,1,100,0,150,0,NA,NA,NA
Bucco tamatia,1,1400,0,1400,0,NA,NA,NA
Bucephala albeola,3,NA,NA,2500,0,2500,0,del Hoyo (2020)
Bucephala clangula,3,2000,0,1550,180,2900,0,del Hoyo (2020)
Bucephala islandica,2,3000,0,3000,0,NA,NA,NA
Buceros bicornis,1,2000,NA,2000,0,NA,NA,NA
Buceros hydrocorax,1,2100,NA,2100,0,NA,NA,NA
Buceros rhinoceros,1,1400,NA,1400,0,NA,NA,NA
Bucorvus abyssinicus,1,3257,0,3257,0,NA,NA,NA
